Index,EmpCode,EState,Division,CropType,Field,Area (Ha),NumberOfTree,Type
453,1097769,EST,HO,T,4B,2.5,14308,R
454,1094840,EST,HO,T,FW1,0.3,4500,R
455,1097971,EST,HO,T,6A,0.8,9302,R
456,1098072,EST,HO,T,3A,3.3,48100,C
457,218665,EST,HO,T,19,5.8,30015,R
458,215231,EST,HO,T,4B,2.5,14308,R
459,209171,EST,HO,T,FW1,0.3,4500,R
460,220281,EST,HO,T,FW4,0.5,5855,R
461,220584,EST,HO,T,6A,0.8,9302,C
462,1072216,EST,HO,T,4B,2.5,14308,C
463,1082013,EST,HO,T,FW1,0.3,4500,R
464,1082316,EST,HO,T,FW4,0.5,5855,C
465,1082619,EST,HO,T,6A,0.8,9302,R
466,1083629,EST,HO,T,3A,3.3,48100,R
467,124028,EST,HO,T,19,5.8,30015,R
468,116958,EST,HO,T,4B,2.5,14308,R
469,119079,EST,HO,T,GPM9,5.0,31505,C
470,123119,EST,HO,T,6A,0.8,9302,R
471,1058783,EST,HO,T,3A,3.3,48100,R
472,1058884,EST,HO,T,19,5.8,30015,R
473,1059793,EST,HO,T,4B,2.5,14308,R
474,1060096,EST,HO,T,FW1,0.3,4500,C
475,1074438,EST,HO,T,FW4,0.5,5855,C
476,1075650,EST,HO,T,GPM9,5.0,31505,C
477,1075751,EST,HO,T,4C,2.0,26000,R
478,1075953,EST,HO,T,6A,0.8,9302,R
479,1076357,EST,HO,T,3A,3.3,48100,R
480,1080094,EST,HO,T,19,5.8,30015,R
481,1080195,EST,HO,T,4B,2.5,14308,R
482,1080296,EST,HO,T,FW1,0.3,4500,C
483,1080498,EST,HO,T,FW4,0.5,5855,C
484,1083124,EST,HO,T,GPM9,5.0,31505,C
485,1083528,EST,HO,T,4C,2.0,26000,R
486,1085952,EST,HO,T,6A,0.8,9302,R
487,1086053,EST,HO,T,3A,3.3,48100,R
488,289365,EST,LD,T,9A,0.3,2961,R
489,296536,EST,LD,T,5A,0.5,5855,R
490,332593,EST,LD,T,FW3,1.5,19425,C
491,342188,EST,LD,T,C4DM,0.8,0,C
492,352793,EST,LD,T,C4GM,0.5,6200,C
493,359661,EST,LD,T,9B,6.5,50876,R
494,360671,EST,LD,T,GBMD,0.8,9302,C
495,361782,EST,LD,T,4K,2.0,27000,R
496,370771,EST,LD,T,4I,2.0,26000,R
497,371175,EST,LD,T,4M,1.0,18000,R
498,371781,EST,LD,T,9A,0.3,2961,R
499,371882,EST,LD,T,5A,0.5,5855,R
500,394405,EST,LD,T,FW3,1.5,19425,C
501,407838,EST,LD,T,C4DM,0.8,0,C
502,409959,EST,LD,T,C4GM,0.5,6200,C
503,415514,EST,LD,T,9B,6.5,50876,R
504,422988,EST,LD,T,GBMD,0.8,9302,C
505,425109,EST,LD,T,4K,2.0,27000,R
506,426422,EST,LD,T,4I,2.0,26000,R
507,433391,EST,LD,T,4M,1.0,18000,R
508,433492,EST,LD,T,9A,0.3,2961,R
509,433795,EST,LD,T,5A,0.5,5855,R
510,440966,EST,LD,T,FW3,1.5,19425,C
511,447430,EST,LD,T,C4DM,0.8,0,C
512,448440,EST,LD,T,C4GM,0.5,6200,C
513,450864,EST,LD,T,9B,6.5,50876,R
514,453086,EST,LD,T,GBMD,0.8,9302,C
515,457429,EST,LD,T,4K,2.0,27000,R
516,459146,EST,LD,T,4I,2.0,26000,R
517,463994,EST,LD,T,4M,1.0,18000,R
518,476114,EST,LD,T,9A,0.3,2961,R
519,476619,EST,LD,T,5A,0.5,5855,R
520,478033,EST,LD,T,FW3,1.5,19425,C
521,479043,EST,LD,T,C4DM,0.8,0,C
522,479144,EST,LD,T,9A,0.3,2961,R
523,480760,EST,LD,T,5A,0.5,5855,R
524,484800,EST,LD,T,FW3,1.5,19425,C
525,485002,EST,LD,T,C4DM,0.8,0,C
526,485103,EST,LD,T,C4GM,0.5,6200,C
527,488436,EST,LD,T,9B,6.5,50876,R
